filename,participant_id,category,age,transformed_ink,source_ink,ink_added,incorrect
S35_age2_Watch_trial014.png,S35,watch,5,0.287,0.053,0.235,1
S79_age4_Chair_trial010.png,S79,chair,7,0.286,0.044,0.243,1
S55_age3_Chair_trial013.png,S55,chair,6,0.286,0.044,0.242,1
S74_age4_Car_trial016.png,S74,car,7,0.285,0.05,0.235,1
S51_age3_Cup_trial010.png,S51,cup,6,0.285,0.047,0.238,1
S19_age1_Cup_trial011.png,S19,cup,4,0.284,0.03,0.255,1
S37_age2_Bicycle_trial009.png,S37,bike,5,0.283,0.041,0.242,1
S77_age4_House_trial016.png,S77,house,7,0.283,0.045,0.238,1
S56_age3_House_trial015.png,S56,house,6,0.282,0.038,0.244,1
S27_age2_Cup_trial014.png,S27,cup,5,0.281,0.036,0.244,1
S48_age3_Car_trial005.png,S48,car,6,0.28,0.047,0.233,1
S55_age3_Hat_trial005.png,S55,hat,6,0.28,0.034,0.246,1
S85_age5_Cat_trial008.png,S85,cat,8,0.279,0.05,0.23,1
S88_age5_Hat_trial011.png,S88,hat,8,0.278,0.043,0.234,1
S72_age4_Hat_trial011.png,S72,hat,7,0.277,0.047,0.231,1
S99_age5_Bird_trial014.png,S99,bird,8,0.277,0.042,0.236,1
S72_age4_Chair_trial015.png,S72,chair,7,0.277,0.045,0.232,1
S23_age2_Cat_trial006.png,S23,cat,5,0.277,0.044,0.232,1
S56_age3_Car_trial012.png,S56,car,6,0.276,0.054,0.222,1
S4_age1_Airplane_trial006.png,S4,airplane,4,0.276,0.042,0.234,1
S59_age3_Cup_trial015.png,S59,cup,6,0.274,0.04,0.234,1
S71_age4_Cup_trial007.png,S71,cup,7,0.274,0.043,0.232,1
S120_age6_Cat_trial015.png,S120,cat,9,0.273,0.046,0.227,1
S21_age2_Cat_trial005.png,S21,cat,5,0.273,0.034,0.239,1
S72_age4_Cat_trial014.png,S72,cat,7,0.271,0.04,0.231,1
S58_age3_Watch_trial016.png,S58,watch,6,0.27,0.054,0.216,1
S79_age4_Tree_trial006.png,S79,tree,7,0.27,0.036,0.234,1
S18_age1_Cup_trial015.png,S18,cup,4,0.269,0.028,0.242,1
S32_age2_Cat_trial014.png,S32,cat,5,0.268,0.045,0.223,1
S56_age3_Rabbit_trial016.png,S56,rabbit,6,0.268,0.046,0.222,1
S74_age4_Bird_trial006.png,S74,bird,7,0.267,0.049,0.218,1
S113_age6_Cup_trial013.png,S113,cup,9,0.267,0.052,0.215,1
S61_age4_Car_trial012.png,S61,car,7,0.266,0.064,0.202,1
S56_age3_Cat_trial013.png,S56,cat,6,0.266,0.047,0.219,1
S39_age2_Cat_trial007.png,S39,cat,5,0.266,0.045,0.221,1
S4_age1_Cup_trial011.png,S4,cup,4,0.266,0.038,0.228,1
S23_age2_Chair_trial005.png,S23,chair,5,0.265,0.034,0.23,1
S32_age2_Rabbit_trial005.png,S32,rabbit,5,0.265,0.036,0.229,1
S31_age2_Bird_trial007.png,S31,bird,5,0.264,0.053,0.211,1
S88_age5_Bird_trial015.png,S88,bird,8,0.264,0.039,0.224,1
S4_age1_Rabbit_trial015.png,S4,rabbit,4,0.264,0.047,0.217,1
S48_age3_Cat_trial011.png,S48,cat,6,0.262,0.034,0.228,1
S51_age3_Cat_trial016.png,S51,cat,6,0.262,0.043,0.218,1
S72_age4_Bird_trial016.png,S72,bird,7,0.26,0.033,0.227,1
S99_age5_Cup_trial009.png,S99,cup,8,0.26,0.046,0.214,1
S22_age2_Chair_trial006.png,S22,chair,5,0.26,0.036,0.225,1
S88_age5_Cat_trial013.png,S88,cat,8,0.259,0.039,0.22,1
S2_age1_Cat_trial015.png,S2,cat,4,0.259,0.043,0.216,1
S64_age4_Cup_trial011.png,S64,cup,7,0.258,0.045,0.213,1
S72_age4_Cup_trial010.png,S72,cup,7,0.258,0.042,0.216,1
S113_age6_Bicycle_trial011.png,S113,bike,9,0.258,0.072,0.186,1
S53_age3_Bird_trial005.png,S53,bird,6,0.257,0.044,0.214,1
S2_age1_Rabbit_trial010.png,S2,rabbit,4,0.256,0.029,0.228,1
S7_age1_Airplane_trial009.png,S7,airplane,4,0.256,0.04,0.216,1
S45_age3_Cup_trial008.png,S45,cup,6,0.255,0.052,0.203,1
S71_age4_Bird_trial010.png,S71,bird,7,0.255,0.059,0.196,1
S48_age3_Chair_trial007.png,S48,chair,6,0.255,0.04,0.215,1
S77_age4_Car_trial015.png,S77,car,7,0.254,0.047,0.207,1
S24_age2_Bird_trial009.png,S24,bird,5,0.254,0.062,0.192,1
S7_age1_Hat_trial014.png,S7,hat,4,0.254,0.042,0.212,1
S26_age2_Tree_trial016.png,S26,tree,5,0.253,0.038,0.215,1
S37_age2_House_trial014.png,S37,house,5,0.253,0.045,0.208,1
S5_age1_Hat_trial007.png,S5,hat,4,0.253,0.029,0.224,1
S113_age6_Chair_trial012.png,S113,chair,9,0.252,0.062,0.19,1
S48_age3_Hat_trial016.png,S48,hat,6,0.251,0.03,0.221,1
S116_age6_Airplane_trial014.png,S116,airplane,9,0.251,0.08,0.171,1
S77_age4_Bird_trial011.png,S77,bird,7,0.25,0.042,0.207,1
S105_age6_House_trial016.png,S105,house,9,0.247,0.063,0.185,1
S37_age2_Hat_trial011.png,S37,hat,5,0.246,0.029,0.217,1
S72_age4_Bicycle_trial008.png,S72,bike,7,0.246,0.045,0.201,1
S26_age2_Chair_trial009.png,S26,chair,5,0.246,0.038,0.208,1
S74_age4_Watch_trial013.png,S74,watch,7,0.246,0.047,0.199,1
S71_age4_Cat_trial016.png,S71,cat,7,0.245,0.065,0.18,1
S112_age6_Hat_trial014.png,S112,hat,9,0.245,0.031,0.213,1
S65_age4_Rabbit_trial016.png,S65,rabbit,7,0.243,0.039,0.204,1
S85_age5_Cup_trial014.png,S85,cup,8,0.242,0.044,0.198,1
S36_age2_Cat_trial012.png,S36,cat,5,0.241,0.052,0.19,1
S10_age1_Car_trial006.png,S10,car,4,0.24,0.034,0.206,1
S56_age3_Bird_trial008.png,S56,bird,6,0.24,0.034,0.206,1
S79_age4_Hat_trial015.png,S79,hat,7,0.24,0.029,0.21,1
S45_age3_Bicycle_trial015.png,S45,bike,6,0.24,0.053,0.187,1
S79_age4_Cat_trial009.png,S79,cat,7,0.239,0.029,0.209,1
S59_age3_Bicycle_trial012.png,S59,bike,6,0.239,0.057,0.182,1
S65_age4_Hat_trial014.png,S65,hat,7,0.239,0.044,0.195,1
S18_age1_Watch_trial008.png,S18,watch,4,0.237,0.022,0.215,1
S53_age3_Rabbit_trial011.png,S53,rabbit,6,0.237,0.044,0.193,1
S4_age1_Bicycle_trial007.png,S4,bike,4,0.236,0.041,0.196,1
S36_age2_Airplane_trial014.png,S36,airplane,5,0.236,0.056,0.18,1
S23_age2_Bicycle_trial016.png,S23,bike,5,0.236,0.073,0.163,1
S33_age2_Bird_trial007.png,S33,bird,5,0.235,0.045,0.19,1
S37_age2_Chair_trial013.png,S37,chair,5,0.235,0.034,0.202,1
S50_age3_Bicycle_trial006.png,S50,bike,6,0.234,0.038,0.196,1
S55_age3_Rabbit_trial008.png,S55,rabbit,6,0.234,0.022,0.213,1
S51_age3_Rabbit_trial012.png,S51,rabbit,6,0.233,0.045,0.188,1
S72_age4_House_trial012.png,S72,house,7,0.233,0.051,0.182,1
S48_age3_House_trial013.png,S48,house,6,0.233,0.032,0.201,1
S55_age3_House_trial016.png,S55,house,6,0.232,0.043,0.189,1
S24_age2_Hat_trial016.png,S24,hat,5,0.232,0.027,0.205,1
S20_age1_Cup_trial009.png,S20,cup,4,0.231,0.027,0.204,1
S29_age2_Bicycle_trial005.png,S29,bike,5,0.231,0.046,0.186,1
S52_age3_House_trial010.png,S52,house,6,0.231,0.043,0.187,1
S65_age4_Cat_trial015.png,S65,cat,7,0.231,0.044,0.187,1
S2_age1_Bicycle_trial012.png,S2,bike,4,0.23,0.042,0.188,1
S107_age6_Chair_trial014.png,S107,chair,9,0.229,0.039,0.19,1
S53_age3_Cup_trial013.png,S53,cup,6,0.229,0.032,0.197,1
S28_age2_Cup_trial010.png,S28,cup,5,0.229,0.045,0.185,1
S107_age6_Rabbit_trial005.png,S107,rabbit,9,0.228,0.061,0.167,1
S18_age1_Chair_trial014.png,S18,chair,4,0.228,0.028,0.2,1
S67_age4_Rabbit_trial007.png,S67,rabbit,7,0.228,0.054,0.174,1
S5_age1_Cat_trial011.png,S5,cat,4,0.227,0.035,0.192,1
S12_age1_Cup_trial005.png,S12,cup,4,0.226,0.045,0.181,1
S12_age1_Bicycle_trial007.png,S12,bike,4,0.226,0.041,0.184,1
S4_age1_Tree_trial014.png,S4,tree,4,0.226,0.043,0.184,1
S21_age2_Rabbit_trial011.png,S21,rabbit,5,0.226,0.05,0.176,1
S10_age1_Cup_trial005.png,S10,cup,4,0.226,0.025,0.202,1
S117_age6_Bird_trial011.png,S117,bird,9,0.225,0.046,0.18,1
S45_age3_Cat_trial006.png,S45,cat,6,0.225,0.049,0.176,1
S5_age1_Rabbit_trial005.png,S5,rabbit,4,0.225,0.035,0.19,1
S98_age5_Cup_trial015.png,S98,cup,8,0.224,0.038,0.186,1
S59_age3_Chair_trial007.png,S59,chair,6,0.224,0.038,0.185,1
S77_age4_Cup_trial005.png,S77,cup,7,0.224,0.043,0.181,1
S120_age6_Bird_trial009.png,S120,bird,9,0.224,0.047,0.178,1
S49_age3_Rabbit_trial016.png,S49,rabbit,6,0.223,0.029,0.194,1
S5_age1_Cup_trial012.png,S5,cup,4,0.223,0.03,0.192,1
S92_age5_Cup_trial010.png,S92,cup,8,0.223,0.049,0.174,1
S5_age1_Car_trial006.png,S5,car,4,0.223,0.039,0.183,1
S18_age1_Hat_trial007.png,S18,hat,4,0.223,0.026,0.197,1
S74_age4_Cat_trial009.png,S74,cat,7,0.222,0.041,0.18,1
S50_age3_Cat_trial016.png,S50,cat,6,0.222,0.043,0.179,1
S7_age1_Cat_trial005.png,S7,cat,4,0.222,0.044,0.178,1
S80_age4_Rabbit_trial016.png,S80,rabbit,7,0.221,0.053,0.168,1
S31_age2_Bicycle_trial006.png,S31,bike,5,0.221,0.044,0.176,1
S120_age6_House_trial011.png,S120,house,9,0.221,0.039,0.181,1
S112_age6_Rabbit_trial006.png,S112,rabbit,9,0.22,0.032,0.188,0
S112_age6_Cat_trial016.png,S112,cat,9,0.22,0.038,0.182,1
S22_age2_House_trial013.png,S22,house,5,0.22,0.061,0.159,0
S90_age5_Cat_trial013.png,S90,cat,8,0.22,0.048,0.172,1
S63_age4_Bird_trial011.png,S63,bird,7,0.22,0.041,0.18,1
S86_age5_Cat_trial015.png,S86,cat,8,0.219,0.051,0.168,0
S59_age3_Rabbit_trial006.png,S59,rabbit,6,0.219,0.048,0.171,0
S113_age6_Rabbit_trial009.png,S113,rabbit,9,0.218,0.035,0.183,0
S10_age1_Cat_trial008.png,S10,cat,4,0.218,0.045,0.173,0
S45_age3_Hat_trial009.png,S45,hat,6,0.218,0.032,0.186,0
S110_age6_Tree_trial009.png,S110,tree,9,0.218,0.042,0.176,0
S100_age5_Hat_trial007.png,S100,hat,8,0.218,0.041,0.177,0
S58_age3_Bird_trial015.png,S58,bird,6,0.217,0.043,0.174,0
S7_age1_Bird_trial010.png,S7,bird,4,0.217,0.012,0.205,0
S50_age3_Cup_trial011.png,S50,cup,6,0.217,0.048,0.169,0
S71_age4_Rabbit_trial005.png,S71,rabbit,7,0.217,0.05,0.167,0
S20_age1_Car_trial007.png,S20,car,4,0.215,0.031,0.184,0
S5_age1_Bicycle_trial015.png,S5,bike,4,0.215,0.037,0.178,0
S77_age4_Rabbit_trial009.png,S77,rabbit,7,0.215,0.029,0.186,0
S37_age2_Tree_trial016.png,S37,tree,5,0.215,0.034,0.181,0
S22_age2_Hat_trial008.png,S22,hat,5,0.215,0.026,0.189,0
S22_age2_Rabbit_trial016.png,S22,rabbit,5,0.215,0.026,0.189,0
S53_age3_Bicycle_trial010.png,S53,bike,6,0.214,0.05,0.164,0
S36_age2_Cup_trial008.png,S36,cup,5,0.214,0.052,0.162,0
S31_age2_Watch_trial016.png,S31,watch,5,0.214,0.045,0.169,0
S77_age4_Tree_trial012.png,S77,tree,7,0.214,0.032,0.182,0
S51_age3_Chair_trial009.png,S51,chair,6,0.213,0.048,0.165,0
S11_age1_Bird_trial011.png,S11,bird,4,0.213,0.067,0.147,0
S94_age5_Chair_trial010.png,S94,chair,8,0.213,0.116,0.097,0
S37_age2_Rabbit_trial015.png,S37,rabbit,5,0.213,0.055,0.158,0
S98_age5_Hat_trial012.png,S98,hat,8,0.212,0.032,0.18,0
S20_age1_Hat_trial006.png,S20,hat,4,0.212,0.029,0.184,0
S75_age4_Cat_trial014.png,S75,cat,7,0.212,0.062,0.15,0
S74_age4_Hat_trial011.png,S74,hat,7,0.211,0.048,0.163,0
S39_age2_Airplane_trial008.png,S39,airplane,5,0.211,0.024,0.187,0
S39_age2_Cup_trial011.png,S39,cup,5,0.211,0.022,0.189,0
S36_age2_Bird_trial016.png,S36,bird,5,0.21,0.037,0.173,0
S88_age5_Rabbit_trial008.png,S88,rabbit,8,0.21,0.039,0.172,0
S7_age1_Bicycle_trial008.png,S7,bike,4,0.209,0.034,0.175,0
S48_age3_Rabbit_trial014.png,S48,rabbit,6,0.209,0.03,0.179,0
S91_age5_Bicycle_trial012.png,S91,bike,8,0.209,0.041,0.168,0
S65_age4_Cup_trial008.png,S65,cup,7,0.208,0.051,0.157,0
S101_age6_House_trial005.png,S101,house,9,0.208,0.087,0.12,0
S46_age3_Watch_trial011.png,S46,watch,6,0.208,0.066,0.142,0
S50_age3_House_trial007.png,S50,house,6,0.207,0.058,0.149,0
S116_age6_Cat_trial012.png,S116,cat,9,0.207,0.037,0.17,0
S51_age3_Watch_trial014.png,S51,watch,6,0.207,0.046,0.161,0
S36_age2_House_trial010.png,S36,house,5,0.207,0.073,0.134,0
S71_age4_Car_trial009.png,S71,car,7,0.207,0.054,0.153,0
S86_age5_Chair_trial008.png,S86,chair,8,0.207,0.058,0.148,0
S3_age1_Airplane_trial005.png,S3,airplane,4,0.207,0.102,0.106,0
S120_age6_Bicycle_trial010.png,S120,bike,9,0.207,0.043,0.164,0
S32_age2_Bicycle_trial009.png,S32,bike,5,0.206,0.033,0.173,0
S98_age5_Cat_trial009.png,S98,cat,8,0.206,0.046,0.16,0
S32_age2_Car_trial011.png,S32,car,5,0.206,0.038,0.168,0
S45_age3_Rabbit_trial011.png,S45,rabbit,6,0.205,0.053,0.151,0
S77_age4_Cat_trial007.png,S77,cat,7,0.205,0.036,0.17,0
S26_age2_Bird_trial008.png,S26,bird,5,0.204,0.038,0.166,0
S119_age6_Bicycle_trial009.png,S119,bike,9,0.204,0.07,0.134,0
S120_age6_Cup_trial006.png,S120,cup,9,0.204,0.042,0.163,0
S113_age6_House_trial007.png,S113,house,9,0.204,0.068,0.137,0
S112_age6_Bicycle_trial010.png,S112,bike,9,0.203,0.048,0.155,0
S53_age3_Airplane_trial009.png,S53,airplane,6,0.203,0.047,0.156,0
S91_age5_Cat_trial007.png,S91,cat,8,0.203,0.06,0.143,0
S116_age6_Bird_trial010.png,S116,bird,9,0.203,0.068,0.136,0
S26_age2_House_trial014.png,S26,house,5,0.203,0.034,0.169,0
S86_age5_Bird_trial014.png,S86,bird,8,0.202,0.052,0.149,0
S50_age3_Car_trial015.png,S50,car,6,0.201,0.067,0.134,0
S56_age3_Tree_trial006.png,S56,tree,6,0.199,0.036,0.163,0
S68_age4_House_trial014.png,S68,house,7,0.199,0.049,0.15,0
S79_age4_Cup_trial011.png,S79,cup,7,0.198,0.035,0.163,0
S38_age2_Bicycle_trial015.png,S38,bike,5,0.198,0.053,0.145,0
S118_age6_Rabbit_trial012.png,S118,rabbit,9,0.198,0.041,0.157,0
S53_age3_House_trial015.png,S53,house,6,0.198,0.066,0.131,0
S90_age5_Tree_trial006.png,S90,tree,8,0.198,0.042,0.155,0
S68_age4_Rabbit_trial005.png,S68,rabbit,7,0.197,0.044,0.152,0
S58_age3_Cup_trial011.png,S58,cup,6,0.197,0.041,0.156,0
S92_age5_Car_trial007.png,S92,car,8,0.197,0.066,0.131,0
S112_age6_Bird_trial011.png,S112,bird,9,0.197,0.044,0.153,0
S105_age6_Chair_trial014.png,S105,chair,9,0.196,0.034,0.162,0
S107_age6_Bicycle_trial015.png,S107,bike,9,0.196,0.039,0.157,0
S74_age4_Tree_trial010.png,S74,tree,7,0.196,0.029,0.167,0
S71_age4_Hat_trial006.png,S71,hat,7,0.196,0.039,0.157,0
S39_age2_Car_trial006.png,S39,car,5,0.196,0.049,0.146,0
S54_age3_Watch_trial012.png,S54,watch,6,0.196,0.046,0.15,0
S6_age1_Chair_trial012.png,S6,chair,4,0.195,0.02,0.176,0
S101_age6_Tree_trial007.png,S101,tree,9,0.195,0.064,0.131,0
S71_age4_Bicycle_trial013.png,S71,bike,7,0.195,0.054,0.14,0
S118_age6_House_trial011.png,S118,house,9,0.195,0.058,0.138,0
S120_age6_Rabbit_trial012.png,S120,rabbit,9,0.195,0.038,0.157,0
S116_age6_Watch_trial007.png,S116,watch,9,0.194,0.073,0.121,0
S80_age4_Bicycle_trial010.png,S80,bike,7,0.194,0.037,0.157,0
S56_age3_Airplane_trial009.png,S56,airplane,6,0.194,0.032,0.162,0
S24_age2_Airplane_trial008.png,S24,airplane,5,0.193,0.053,0.139,0
S42_age3_Cup_trial014.png,S42,cup,6,0.193,0.045,0.148,0
S75_age4_Car_trial009.png,S75,car,7,0.192,0.064,0.128,0
S50_age3_Hat_trial012.png,S50,hat,6,0.192,0.03,0.163,0
S98_age5_Watch_trial011.png,S98,watch,8,0.192,0.038,0.155,0
S112_age6_Watch_trial012.png,S112,watch,9,0.192,0.032,0.16,0
S49_age3_Cup_trial013.png,S49,cup,6,0.192,0.037,0.155,0
S45_age3_Tree_trial012.png,S45,tree,6,0.191,0.049,0.142,0
S46_age3_Cup_trial013.png,S46,cup,6,0.191,0.042,0.15,0
S106_age6_Bird_trial015.png,S106,bird,9,0.191,0.044,0.147,0
S79_age4_House_trial016.png,S79,house,7,0.191,0.038,0.153,0
S79_age4_Airplane_trial012.png,S79,airplane,7,0.191,0.043,0.148,0
S8_age1_Watch_trial009.png,S8,watch,4,0.19,0.032,0.158,0
S112_age6_Car_trial013.png,S112,car,9,0.19,0.049,0.14,0
S113_age6_Hat_trial008.png,S113,hat,9,0.189,0.034,0.155,0
S26_age2_Car_trial007.png,S26,car,5,0.189,0.042,0.147,0
S52_age3_Bird_trial007.png,S52,bird,6,0.189,0.036,0.153,0
S45_age3_House_trial010.png,S45,house,6,0.189,0.067,0.123,0
S54_age3_Car_trial005.png,S54,car,6,0.189,0.053,0.136,0
S100_age5_Cup_trial008.png,S100,cup,8,0.189,0.051,0.138,0
S64_age4_Car_trial014.png,S64,car,7,0.189,0.057,0.132,0
S20_age1_Cat_trial008.png,S20,cat,4,0.188,0.024,0.164,0
S99_age5_Cat_trial005.png,S99,cat,8,0.188,0.057,0.131,0
S25_age2_Tree_trial016.png,S25,tree,5,0.188,0.046,0.142,0
S101_age6_Cup_trial010.png,S101,cup,9,0.187,0.041,0.146,0
S53_age3_Hat_trial014.png,S53,hat,6,0.187,0.036,0.151,0
S27_age2_Tree_trial012.png,S27,tree,5,0.187,0.028,0.159,0
S50_age3_Chair_trial014.png,S50,chair,6,0.186,0.024,0.162,0
S32_age2_Hat_trial015.png,S32,hat,5,0.186,0.026,0.16,0
S97_age5_Hat_trial005.png,S97,hat,8,0.186,0.031,0.156,0
S27_age2_Hat_trial015.png,S27,hat,5,0.186,0.027,0.159,0
S51_age3_House_trial005.png,S51,house,6,0.185,0.041,0.144,0
S64_age4_Bicycle_trial015.png,S64,bike,7,0.185,0.037,0.148,0
S27_age2_House_trial009.png,S27,house,5,0.185,0.038,0.146,0
S28_age2_Rabbit_trial013.png,S28,rabbit,5,0.184,0.033,0.151,0
S63_age4_Chair_trial013.png,S63,chair,7,0.184,0.053,0.131,0
S91_age5_Hat_trial013.png,S91,hat,8,0.184,0.028,0.157,0
S72_age4_Car_trial013.png,S72,car,7,0.184,0.038,0.146,0
S24_age2_Watch_trial012.png,S24,watch,5,0.183,0.043,0.14,0
S2_age1_House_trial008.png,S2,house,4,0.183,0.04,0.142,0
S26_age2_Cat_trial010.png,S26,cat,5,0.183,0.03,0.153,0
S66_age4_Cup_trial015.png,S66,cup,7,0.183,0.05,0.133,0
S95_age5_House_trial006.png,S95,house,8,0.183,0.102,0.081,0
S25_age2_Watch_trial015.png,S25,watch,5,0.183,0.042,0.141,0
S107_age6_Hat_trial007.png,S107,hat,9,0.183,0.029,0.153,0
S36_age2_Car_trial011.png,S36,car,5,0.182,0.046,0.136,0
S33_age2_Cat_trial012.png,S33,cat,5,0.182,0.036,0.146,0
S23_age2_Car_trial011.png,S23,car,5,0.182,0.058,0.124,0
S14_age1_Tree_trial007.png,S14,tree,4,0.182,0.017,0.165,0
S6_age1_Hat_trial005.png,S6,hat,4,0.182,0.026,0.156,0
S1_age1_Chair_trial008.png,S1,chair,4,0.182,0.047,0.136,0
S18_age1_Car_trial009.png,S18,car,4,0.181,0.019,0.162,0
S21_age2_Bird_trial013.png,S21,bird,5,0.18,0.03,0.15,0
S74_age4_House_trial012.png,S74,house,7,0.18,0.047,0.133,0
